Year,State,State_Population,Total_Charges,Gov_Party,White_Male_Pop,White_Female_Pop,Black_Male_Pop,Black_Female_Pop,Native_American_Male_Pop,Native_American_Female_Pop,Asian_Male_Pop,Asian_Female_Pop,Hispanic_Male_Pop,Hispanic_Female_Pop
2010,Alabama,4785437,3493,R,1586707,1657199,590195,676930,13957,14460,28422,31550,88696,70303
2011,Alabama,4799069,3154,R,1587864,1657790,593083,680873,14015,14517,29285,32887,89426,72962
2012,Alabama,4815588,3246,R,1589395,1659102,598011,685594,14074,14605,31058,34904,88800,74000
2013,Alabama,4830081,3105,R,1589733,1659143,603103,690064,14112,14694,32194,36455,89170,75676
2014,Alabama,4841799,2879,R,1589654,1659436,606338,694059,14251,14817,33146,37676,89763,77193
2015,Alabama,4852347,2802,R,1587903,1658295,610070,697861,14347,14898,34310,38998,91036,79033
2016,Alabama,4863525,3371,R,1586539,1658177,612188,700995,14403,14905,35507,40444,93159,81771
2017,Alabama,4874486,2522,R,1585355,1658142,613336,704890,14459,14983,36522,41578,95171,84263
2018,Alabama,4887681,2488,R,1584997,1659125,614827,708359,14532,15051,37203,42253,97855,87290
2019,Alabama,4903185,2108,R,1586508,1662177,616599,711012,14652,15202,37912,43114,99956,90070
2020,Alabama,5024279,1539,R,1587080,1663745,618075,713789,14753,15449,38387,43697,102042,92622
2010,Alaska,713910,120,R,253419,226862,15699,12884,58264,57227,23702,25914,15183,14443
2011,Alaska,722128,79,R,254385,228174,16200,13219,58887,57828,24737,26841,16064,15166
2012,Alaska,730443,100,R,255425,228357,16982,13602,59315,58272,25830,27906,17498,16084
2013,Alaska,737068,98,R,256351,227781,17517,13836,59956,58551,27037,29057,18817,16731
2014,Alaska,736283,77,I,254785,225893,17523,13707,60286,58764,27549,29464,19334,17292
2015,Alaska,737498,77,I,253884,224895,17573,13699,60517,59035,28197,30250,19720,17569
2016,Alaska,741456,95,I,253460,224587,17873,14119,60789,59291,29257,31364,20203,18125
2017,Alaska,739700,101,I,250153,222490,17944,14416,60818,59496,30234,32427,20634,18574
2018,Alaska,735139,71,I,247189,220535,17952,14396,60867,59605,30250,32461,20675,18577
2019,Alaska,731545,60,R,245250,218718,17836,14314,60906,59594,30578,32785,20839,18620
2020,Alaska,733391,56,R,243723,217454,17809,14145,61032,59700,30784,32955,20815,18612
2010,Arizona,6407172,2486,R,1860391,1903092,141661,128796,131490,138533,94493,105518,873379,867246
2011,Arizona,6472643,2854,R,1867587,1908900,145796,132227,133218,140166,98919,110583,887671,881113
2012,Arizona,6554978,2920,R,1878330,1920173,150634,136849,134913,142137,103665,115319,904554,897485
2013,Arizona,6632764,2803,R,1886033,1929344,154925,141327,136418,144089,108848,120647,921400,914675
2014,Arizona,6730413,2644,R,1900119,1943413,159927,146374,138099,145825,114406,126415,941935,933685
2015,Arizona,6829676,2396,R,1913146,1957693,165754,152243,139108,147016,118996,131153,964630,954255
2016,Arizona,6941072,2324,R,1930273,1975096,171971,159208,140304,148691,124743,137330,985743,975825
2017,Arizona,7044008,1988,R,1945091,1990996,177464,165245,141444,149971,128798,141759,1006929,997331
2018,Arizona,7158024,1768,R,1966321,2011620,183735,172058,142622,151563,131921,145484,1029056,1019624
2019,Arizona,7278717,1729,R,1988931,2036010,190660,178922,143786,152982,136669,150726,1052540,1043257
2020,Arizona,7151502,1602,R,2013357,2062065,197402,185879,144658,154248,141290,155583,1075439,1067068
2010,Arkansas,2921964,1709,D,1083393,1123270,218948,241536,11094,11511,21347,23447,91267,79922
2011,Arkansas,2940667,1666,D,1086691,1126427,220726,243188,11296,11657,22720,24929,94112,82715
2012,Arkansas,2952164,2374,D,1087195,1126632,221756,244315,11581,11899,24481,26257,96391,85313
2013,Arkansas,2959400,1524,D,1086327,1126032,223189,245640,11689,11961,25226,26979,98270,87768
2014,Arkansas,2967392,1339,D,1086077,1125576,224524,246817,11783,12200,26175,27929,100031,89872
2015,Arkansas,2978048,1372,R,1086496,1125036,226348,248434,11957,12339,27322,29004,102156,92345
2016,Arkansas,2989918,1473,R,1086304,1125313,227885,249974,12139,12570,29019,30227,104489,94685
2017,Arkansas,3001345,1371,R,1086700,1125359,228748,251277,12375,12757,30215,31346,107248,97558
2018,Arkansas,3009733,1151,R,1085966,1125338,229362,252630,12553,12965,30771,31944,109390,100138
2019,Arkansas,3017804,1200,R,1084970,1125387,230231,253716,12626,13129,31707,32680,111946,102787
2020,Arkansas,3011524,1093,R,1084007,1125557,230345,254530,12791,13314,33145,33670,114784,105727
2010,California,37319502,7161,R,7703240,7775263,1168005,1197647,101970,106333,2472441,2733690,6485873,6349764
2011,California,37638369,7166,R,7694664,7760471,1174187,1203377,102055,106503,2530182,2798251,6570212,6453443
2012,California,37948800,7399,D,7696896,7750306,1180896,1207708,102453,106887,2588143,2861887,6646787,6542479
2013,California,38260787,6892,D,7691176,7738147,1184815,1211852,102455,106979,2654854,2934083,6722235,6629005
2014,California,38596972,6363,D,7689214,7726870,1194036,1217123,102568,107117,2726600,3011255,6801591,6713121
2015,California,38918045,6199,D,7679720,7704455,1200754,1221495,102683,107185,2804549,3095679,6879891,6791513
2016,California,39167117,5870,D,7650034,7665916,1205384,1224372,102549,106972,2873456,3168504,6951287,6865356
2017,California,39358497,5423,D,7607356,7613171,1212071,1226862,102509,106947,2940080,3236867,7012033,6926086
2018,California,39461588,4344,D,7550850,7548418,1217143,1228304,102038,106595,2991402,3289978,7057922,6974406
2019,California,39512223,4276,D,7468663,7464466,1220031,1228142,101146,105761,3031302,3329955,7089507,7009742
2020,California,39538223,4130,D,7365392,7356288,1222455,1226724,100067,104778,3062540,3360054,7118456,7041079
2010,Colorado,5047349,2133,D,1791043,1799086,114056,102304,18943,18747,72977,85812,481975,462217
2011,Colorado,5121108,1986,D,1810181,1817626,116656,104530,19190,19123,75822,89144,493167,473789
2012,Colorado,5192647,1956,D,1831362,1836597,119709,107225,19464,19286,78922,92651,501125,482369
2013,Colorado,5269035,2058,D,1854170,1856923,123235,110069,19746,19691,82149,96081,509625,491220
2014,Colorado,5350101,1803,D,1878259,1877280,127413,112893,20120,19945,85596,99754,519808,500818
2015,Colorado,5450623,1906,D,1909380,1903478,131445,116038,20553,20488,90080,104580,532075,511828
2016,Colorado,5539215,1994,D,1936271,1926518,135071,118795,20878,20948,93819,108655,543146,522065
2017,Colorado,5611885,1688,D,1956311,1943286,137936,120891,21251,21192,97311,112067,553573,532668
2018,Colorado,5691287,1354,D,1975380,1962044,141345,124017,21622,21604,101184,115818,565339,544164
2019,Colorado,5758736,1322,D,1992305,1975819,144030,125938,21812,21863,103396,118273,574293,552732
2020,Colorado,5773714,1155,D,2002532,1985498,146622,127925,22018,22120,105995,120762,581934,560945
2010,Connecticut,3579114,295,R,1255312,1328316,171154,187842,4427,4593,70358,74770,203524,202084
2011,Connecticut,3588283,262,D,1249243,1320506,173067,189617,4497,4679,72734,77472,209454,208362
2012,Connecticut,3594547,279,D,1241600,1310813,175140,191531,4587,4788,75185,80572,215168,214625
2013,Connecticut,3594841,294,D,1232735,1300482,177451,193495,4672,4853,76304,82010,220443,219937
2014,Connecticut,3594524,270,D,1222946,1288709,178843,195184,4749,4898,79270,85097,225514,224949
2015,Connecticut,3587122,238,D,1210440,1274986,180384,196943,4829,4889,81839,87320,229640,229462
2016,Connecticut,3578141,253,D,1197654,1261068,181759,198530,4834,4856,83382,89060,234058,234523
2017,Connecticut,3573297,264,D,1185691,1247565,183386,200447,4841,4853,84891,90600,238886,240126
2018,Connecticut,3571520,214,D,1173633,1234533,184965,202676,4895,4838,86610,92083,244905,247191
2019,Connecticut,3565287,288,D,1160841,1220869,187261,205099,4910,4855,87828,93278,248158,251179
2020,Connecticut,3605944,218,D,1147913,1206688,189556,207316,4883,4873,88696,94152,251942,255513
2010,Delaware,899593,175,D,288664,307408,92466,103302,1612,1684,14794,15982,31178,28358
2011,Delaware,907381,228,D,289275,308072,93854,104978,1623,1688,15456,16673,32050,29404
2012,Delaware,915179,184,D,290552,309032,95038,106427,1646,1666,16023,17235,32883,30212
2013,Delaware,923576,156,D,291456,310126,96269,108092,1644,1731,17121,18103,33415,31062
2014,Delaware,932487,155,D,292576,311447,97861,109773,1651,1740,17900,18747,34145,31829
2015,Delaware,941252,168,D,293228,312442,99606,111540,1631,1735,18764,19641,34963,32504
2016,Delaware,948921,168,D,293796,313265,101228,113324,1642,1770,19190,20216,35613,33460
2017,Delaware,956823,137,D,293970,314010,102852,114921,1659,1789,19627,20565,36790,34543
2018,Delaware,965479,153,D,294456,314767,104510,116945,1681,1816,20359,21044,37771,35678
2019,Delaware,973764,193,D,295139,315805,106364,118959,1655,1826,21063,21703,38654,36643
2020,Delaware,989948,211,D,296209,317408,108274,121009,1664,1819,21240,22108,39685,37666
2010,Florida,18845537,7779,R,5423682,5642786,1424055,1539505,27147,27190,236965,274265,1947757,2000593
2011,Florida,19053237,8088,R,5432227,5647005,1455458,1568990,27626,27510,244607,283037,2000162,2054584
2012,Florida,19297822,7940,R,5455039,5669045,1482689,1601067,28072,27982,252428,292405,2053037,2111966
2013,Florida,19545621,7597,R,5476529,5688180,1507546,1628161,28298,28072,260424,301794,2114549,2176099
2014,Florida,19845911,7528,R,5515222,5727912,1534979,1657296,28796,28621,269324,312010,2179184,2243416
2015,Florida,20209042,7158,R,5570966,5784540,1564739,1686434,29256,29110,279198,323659,2254924,2320991
2016,Florida,20613477,7610,R,5631482,5850077,1594600,1718581,29683,29604,291090,337137,2340907,2409002
2017,Florida,20963613,6858,R,5671383,5894072,1621161,1748195,29886,30177,301456,349464,2423923,2493662
2018,Florida,21244317,6617,R,5694176,5920595,1643541,1771886,30152,30419,309464,358348,2496401,2568335
2019,Florida,21477737,5990,R,5718401,5950837,1663075,1792744,30431,30677,317365,367164,2549963,2623672
2020,Florida,21538187,5868,R,5745470,5985424,1680218,1810830,30648,31054,324448,375483,2605070,2680047
2010,Georgia,9711881,5771,R,2703171,2796079,1399259,1590328,11997,12643,165441,176537,396583,335282
2011,Georgia,9802431,5599,R,2711932,2801987,1425236,1613868,12104,12804,171615,183120,399343,342244
2012,Georgia,9901430,5903,R,2725577,2813198,1446954,1636949,12372,13006,179668,191909,401752,348672
2013,Georgia,9972479,5162,R,2727535,2816214,1464372,1659430,12602,13100,187906,200041,403344,354347
2014,Georgia,10067278,4820,R,2734454,2823249,1486403,1687535,12719,13282,195219,207746,408111,361777
2015,Georgia,10178447,5234,R,2742194,2831477,1510407,1718157,12878,13469,204076,216631,416669,371953
2016,Georgia,10301890,5273,R,2749754,2840547,1536279,1749848,13007,13740,214141,228423,427776,383793
2017,Georgia,10410330,4894,R,2753413,2846952,1561516,1779183,13090,13910,222757,237339,437686,395014
2018,Georgia,10511131,4919,R,2756871,2851511,1585207,1807344,13243,14127,230048,245135,448095,406568
2019,Georgia,10617423,4779,R,2761910,2858448,1609556,1836972,13429,14363,237764,253498,458089,417456
2020,Georgia,10711908,4025,R,2759921,2859089,1628586,1861860,13631,14583,243933,260473,467640,427913
2010,Hawaii,1363963,275,D,193077,167858,17779,11871,1881,1615,408667,439101,26335,24380
2011,Hawaii,1379329,346,D,193651,168331,18729,12730,1860,1660,411799,443005,28161,25682
2012,Hawaii,1394804,319,D,195237,169214,19743,13277,1906,1633,414596,446329,30118,26983
2013,Hawaii,1408243,358,D,197625,170621,20386,13643,1885,1616,416308,448097,31897,28337
2014,Hawaii,1414538,373,D,198250,170600,20975,13965,1930,1628,416743,448476,33037,29478
2015,Hawaii,1422052,319,D,198537,171121,21702,14385,1956,1619,417765,449429,34381,30469
2016,Hawaii,1427559,291,D,197950,170561,22260,14790,1930,1594,418931,450908,35552,31560
2017,Hawaii,1424393,294,D,195120,169609,22378,14963,1870,1581,418281,450317,35762,32038
2018,Hawaii,1420593,254,D,192920,168766,22466,15184,1863,1599,417453,449601,36077,32467
2019,Hawaii,1415872,330,D,190433,167266,22406,15249,1808,1621,415382,447405,36342,32553
2020,Hawaii,1455271,308,D,188169,166035,22307,15063,1798,1631,413117,444943,36249,32667
2010,Idaho,1570746,79,R,666797,670698,7181,5413,9968,10134,10818,12806,84350,77774
2011,Idaho,1583910,97,R,670298,674452,7538,5726,10017,10209,11459,13266,85987,79771
2012,Idaho,1595324,80,R,673499,677493,7653,5847,10082,10166,11834,13643,87689,81794
2013,Idaho,1611206,77,R,678156,681852,8029,6095,10175,10246,12121,13998,90191,84238
2014,Idaho,1631112,67,R,685217,688254,8416,6360,10255,10305,12555,14588,92316,86362
2015,Idaho,1651059,78,R,691574,694339,8736,6748,10355,10481,12981,15568,94735,88538
2016,Idaho,1682380,92,R,702472,704732,9239,7186,10572,10637,13711,16688,97798,91774
2017,Idaho,1717715,57,R,715759,717561,9701,7571,10678,10792,14212,17479,101069,94819
2018,Idaho,1750536,41,R,728097,729110,10144,7851,10848,10893,14645,17899,103968,97841
2019,Idaho,1787065,38,R,741839,742550,10614,8138,10972,11103,15147,18508,107347,101162
2020,Idaho,1839106,57,R,755926,756475,11127,8628,11258,11308,15833,19086,110412,104382
2010,Illinois,12840503,5288,D,4047925,4216315,887061,1006790,12221,13058,300531,322368,969269,907297
2011,Illinois,12867454,6098,D,4038647,4202166,888237,1006508,12280,13158,311044,333756,980686,921811
2012,Illinois,12882510,5490,D,4025983,4184659,889013,1006151,12362,13284,321739,345185,988980,934057
2013,Illinois,12895129,4781,D,4013466,4165677,889885,1006049,12485,13290,333319,356740,997155,944264
2014,Illinois,12884493,4487,D,3992008,4140799,889183,1004154,12485,13369,341932,366421,1004955,954177
2015,Illinois,12858913,4581,R,3966219,4109578,887307,1001525,12450,13405,350413,375388,1012720,963084
2016,Illinois,12820527,5072,R,3938285,4077014,883909,996431,12485,13479,356889,382342,1020332,971298
2017,Illinois,12778828,4392,R,3907788,4042615,879657,991049,12451,13504,364827,390867,1027064,979051
2018,Illinois,12723071,4444,R,3871736,4003236,876586,986837,12445,13527,370843,396850,1032682,986709
2019,Illinois,12671821,3928,D,3836349,3965538,874053,983264,12468,13526,374705,400871,1037215,993066
2020,Illinois,12812508,3682,D,3791759,3918557,871362,979696,12453,13517,377191,403247,1041977,998994
2010,Indiana,6490432,3192,R,2624062,2719616,299566,324036,8401,8844,55450,59141,185778,166780
2011,Indiana,6516528,2940,R,2626853,2720165,303356,327611,8440,8913,59353,62553,188464,171415
2012,Indiana,6537703,3063,R,2627441,2718129,306788,330800,8522,8958,63660,66160,192053,175247
2013,Indiana,6568713,3067,R,2630611,2719916,311313,334622,8660,9102,67406,69897,196360,180134
2014,Indiana,6593644,2700,R,2631948,2720056,315023,338099,8672,9194,71253,73416,200005,184345
2015,Indiana,6608422,2545,R,2629384,2715756,318614,341223,8708,9272,74970,76475,203483,188283
2016,Indiana,6634304,2533,R,2627889,2713783,322857,345836,8779,9319,80004,80615,208542,193564
2017,Indiana,6658078,2389,R,2626057,2711699,327300,350549,8860,9414,83528,83536,213573,199021
2018,Indiana,6695497,1890,R,2626486,2710878,333554,356481,9021,9571,88724,88163,219732,205423
2019,Indiana,6732219,1880,R,2626599,2711284,339022,361512,9134,9656,92438,91678,225588,211493
2020,Indiana,6785528,1737,R,2625007,2708864,343620,365938,9249,9812,95381,94607,231041,216863
2010,Iowa,3050745,173,D,1341864,1384211,54427,48796,4759,5008,29030,29454,74109,66244
2011,Iowa,3066336,187,R,1344275,1384614,56055,50201,4809,5021,31608,31827,76265,68326
2012,Iowa,3076190,208,R,1344456,1383231,57550,51520,4785,5016,33774,33698,77856,70440
2013,Iowa,3092997,144,R,1345388,1382957,60345,54044,4891,5087,36521,36128,80250,73021
2014,Iowa,3109350,196,R,1346652,1383014,63436,56483,4907,5165,39262,38434,82213,75040
2015,Iowa,3120960,183,R,1346817,1381013,66162,58777,4974,5247,40932,40058,84540,77292
2016,Iowa,3131371,190,R,1345312,1379043,68993,61101,5016,5313,42728,41726,87011,79668
2017,Iowa,3141550,152,R,1343800,1376240,71965,64169,5051,5359,44488,43419,89132,82001
2018,Iowa,3148618,154,R,1340989,1373248,74339,66348,5127,5446,45515,44262,91469,84293
2019,Iowa,3155070,196,R,1339381,1370720,76938,68534,5185,5531,47176,45707,94138,86777
2020,Iowa,3190369,223,R,1336478,1366994,78636,69878,5263,5543,48121,46692,96736,89100
2010,Kansas,2858190,739,D,1116321,1151790,94003,90110,14003,14551,36311,39003,143200,131033
2011,Kansas,2869225,873,R,1117199,1151205,94790,91059,13995,14470,37886,40597,145629,134063
2012,Kansas,2885257,825,R,1120206,1151260,96557,92176,14039,14492,39331,42129,148837,137219
2013,Kansas,2893212,852,R,1120076,1148790,97527,92597,14082,14511,40972,43744,151619,139928
2014,Kansas,2900475,681,R,1118804,1146304,98544,92930,14042,14442,42717,45141,154849,142750
2015,Kansas,2909011,707,R,1117416,1144081,99406,93452,14043,14343,45201,47311,157693,145872
2016,Kansas,2910844,675,R,1114148,1140752,99424,93308,13980,14344,47000,48970,160082,148587
2017,Kansas,2908718,623,R,1110417,1136570,99443,93037,13896,14328,47420,49494,162313,151024
2018,Kansas,2911359,666,R,1107152,1133268,99738,93356,13859,14306,48482,50544,164733,153366
2019,Kansas,2913314,771,D,1103108,1130564,100166,93581,13938,14422,48874,50977,166666,155688
2020,Kansas,2937880,653,D,1100210,1127480,100723,93781,14085,14512,49363,51413,168893,157814
2010,Kentucky,4348181,1110,D,1857211,1935181,176640,180475,4681,4562,26177,29355,66263,52436
2011,Kentucky,4369821,1072,D,1862188,1940757,179396,183141,4705,4542,27410,30588,67773,54383
2012,Kentucky,4386346,977,D,1865948,1941787,181990,185065,4663,4612,29012,31981,69663,56515
2013,Kentucky,4404659,1029,D,1869210,1943248,185135,187701,4772,4686,30662,33762,71979,58590
2014,Kentucky,4414349,975,D,1870061,1944390,186681,189468,4804,4740,31802,34792,72596,59964
2015,Kentucky,4425976,881,R,1871289,1944598,188741,190895,4771,4735,33744,36640,73834,61676
2016,Kentucky,4438182,911,R,1870331,1944516,190631,193081,4819,4816,35440,38206,75783,63833
2017,Kentucky,4452268,883,R,1870758,1944824,193509,195604,4799,4787,36838,39577,78807,66489
2018,Kentucky,4461153,670,R,1869382,1944254,195084,197366,4874,4823,37442,40123,81214,69457
2019,Kentucky,4467673,687,D,1867990,1942536,197677,199352,4893,4824,38706,41240,82841,71530
2020,Kentucky,4505836,585,D,1865039,1940038,199721,201371,4931,4864,39750,42260,84402,73534
2010,Louisiana,4544532,2130,R,1364571,1406613,700060,772092,15086,15582,37975,38647,92313,74403
2011,Louisiana,4575625,2127,R,1368065,1410277,706316,779391,15171,15719,39320,40204,95262,77654
