"Year","State","State_Population","State_Per_Capita_Income","Total_Charges","Percentage_of_US_Total_Charges","Race","Percentage_of_US_Race_Charges","Sex","Percentage_of_US_Sex_Charges","National_Origin","Percentage_of_US_National_Origin_Charges","Religion","Percentage_of_US_Religion_Charges","Color","Percentage_of_US_Color_Charges","Retaliation_All","Percentage_of_US_Retaliation_All_Charges","Retaliation_Title_VII","Percentage_of_US_Retaliation_Title_VII_Charges","Age","Percentage_of_US_Age_Charges","Disability","Percentage_of_US_Disability_Charges","Equal_Pay_Act","Percentage_of_US_EPA_Charges","GINA","Percentage_of_US_GINA_Charges","Gov_Party","White_Male_Pop","White_Female_Pop","Black_Male_Pop","Black_Female_Pop","Native_American_Male_Pop","Native_American_Female_Pop","Asian_Male_Pop","Asian_Female_Pop","Hispanic_Male_Pop","Hispanic_Female_Pop"
2010,"Alabama",4785437,33946,3493,"3.50%",1831,"5.10%",1006,"3.50%",155,"1.40%",90,"2.40%",59,"2.10%",1216,"3.40%",1129,"3.60%",643,"2.80%",686,"2.70%",42,"4.00%",12,"6.00%","R",1586707,1657199,590195,676930,13957,14460,28422,31550,88696,70303
2011,"Alabama",4799069,35010,3154,"3.20%",1626,"4.60%",934,"3.30%",85,"0.70%",66,"1.60%",49,"1.70%",1050,"2.80%",959,"3.10%",579,"2.50%",638,"2.50%",45,"4.90%",9,"3.70%","R",1587864,1657790,593083,680873,14015,14517,29285,32887,89426,72962
2012,"Alabama",4815588,35824,3246,"3.30%",1611,"4.80%",1086,"3.60%",127,"1.20%",83,"2.20%",64,"2.40%",1199,"3.20%",1111,"3.60%",619,"2.70%",677,"2.60%",57,"5.30%",17,"6.10%","R",1589395,1659102,598011,685594,14074,14605,31058,34904,88800,74000
2013,"Alabama",4830081,36014,3105,"3.30%",1520,"4.60%",976,"3.50%",207,"1.90%",162,"4.40%",122,"3.90%",1224,"3.20%",1132,"3.60%",579,"2.70%",683,"2.60%",108,"10.60%",61,"18.30%","R",1589733,1659143,603103,690064,14112,14694,32194,36455,89170,75676
2014,"Alabama",4841799,37055,2879,"3.20%",1466,"4.70%",902,"3.50%",165,"1.70%",140,"3.90%",135,"4.90%",1220,"3.20%",1101,"3.60%",563,"2.70%",680,"2.70%",112,"11.90%",68,"20.40%","R",1589654,1659436,606338,694059,14251,14817,33146,37676,89763,77193
2015,"Alabama",4852347,38531,2802,"3.20%",1389,"4.50%",864,"3.30%",115,"1.20%",60,"1.70%",88,"3.20%",1137,"3.00%",1010,"3.30%",518,"2.50%",635,"2.50%",35,"3.70%",10,"3.00%","R",1587903,1658295,610070,697861,14347,14898,34310,38998,91036,79033
2016,"Alabama",4863525,39014,3371,"3.70%",1865,"5.80%",934,"3.50%",109,"1.10%",75,"2.00%",87,"2.80%",1211,"2.90%",1079,"3.30%",503,"2.40%",647,"2.30%",17,"1.60%",7,"2.90%","R",1586539,1658177,612188,700995,14403,14905,35507,40444,93159,81771
2017,"Alabama",4874486,40252,2522,"3.00%",1171,"4.10%",888,"3.50%",68,"0.80%",66,"1.90%",60,"1.90%",1107,"3.10%",989,"3.10%",414,"2.30%",624,"2.30%",32,"3.20%",3,"1.50%","R",1585355,1658142,613336,704890,14459,14983,36522,41578,95171,84263
2018,"Alabama",4887681,41607,2488,"3.30%",1187,"4.80%",838,"3.40%",64,"0.90%",58,"2.00%",99,"3.10%",1208,"3.10%",1085,"3.60%",591,"3.50%",611,"2.50%",30,"2.80%",41,"18.60%","R",1584997,1659125,614827,708359,14532,15051,37203,42253,97855,87290
2019,"Alabama",4903185,43157,2108,"2.90%",950,"4.00%",734,"3.10%",60,"0.90%",44,"1.60%",74,"2.20%",995,"2.50%",882,"2.90%",370,"2.40%",490,"2.00%",31,"2.80%",5,"2.40%","R",1586508,1662177,616599,711012,14652,15202,37912,43114,99956,90070
2020,"Alabama",5024279,45524,1539,"2.30%",693,"3.10%",493,"2.30%",38,"0.60%",33,"1.40%",47,"1.30%",774,"2.10%",654,"2.30%",270,"1.90%",403,"1.70%",26,"2.70%",1,"0.20%","R",1587080,1663745,618075,713789,14753,15449,38387,43697,102042,92622
2010,"Alaska",713910,49652,120,"0.10%",38,"0.10%",39,"0.10%",16,"0.10%",4,"0.10%",2,"0.10%",48,"0.10%",41,"0.10%",38,"0.20%",39,"0.20%",1,"0.10%",0,"0.00%","R",253419,226862,15699,12884,58264,57227,23702,25914,15183,14443
2011,"Alaska",722128,52569,79,"0.10%",21,"0.10%",20,"0.10%",9,"0.10%",7,"0.20%",5,"0.20%",32,"0.10%",24,"0.10%",28,"0.10%",32,"0.10%",2,"0.20%",1,"0.40%","R",254385,228174,16200,13219,58887,57828,24737,26841,16064,15166
2012,"Alaska",730443,53708,100,"0.10%",24,"0.10%",35,"0.10%",13,"0.10%",6,"0.20%",3,"0.10%",31,"0.10%",20,"0.10%",34,"0.10%",24,"0.10%",3,"0.30%",0,"0.00%","R",255425,228357,16982,13602,59315,58272,25830,27906,17498,16084
2013,"Alaska",737068,52812,98,"0.10%",34,"0.10%",33,"0.10%",16,"0.20%",7,"0.20%",7,"0.20%",39,"0.10%",27,"0.10%",28,"0.10%",26,"0.10%",2,"0.20%",0,"0.00%","R",256351,227781,17517,13836,59956,58551,27037,29057,18817,16731
2014,"Alaska",736283,55867,77,"0.10%",23,"0.10%",24,"0.10%",5,"0.10%",5,"0.10%",5,"0.20%",37,"0.10%",27,"0.10%",22,"0.10%",30,"0.10%",0,"0.00%",0,"0.00%","I",254785,225893,17523,13707,60286,58764,27549,29464,19334,17292
2015,"Alaska",737498,57575,77,"0.10%",25,"0.10%",24,"0.10%",11,"0.10%",1,"0.00%",3,"0.10%",36,"0.10%",29,"0.10%",29,"0.10%",27,"0.10%",1,"0.10%",0,"0.00%","I",253884,224895,17573,13699,60517,59035,28197,30250,19720,17569
2016,"Alaska",741456,56278,95,"0.10%",33,"0.10%",32,"0.10%",6,"0.10%",4,"0.10%",3,"0.10%",46,"0.10%",30,"0.10%",21,"0.10%",32,"0.10%",37,"3.40%",0,"0.00%","I",253460,224587,17873,14119,60789,59291,29257,31364,20203,18125
2017,"Alaska",739700,57278,101,"0.10%",28,"0.10%",28,"0.10%",12,"0.10%",5,"0.10%",5,"0.20%",51,"0.10%",34,"0.10%",27,"0.10%",36,"0.10%",4,"0.40%",1,"0.50%","I",250153,222490,17944,14416,60818,59496,30234,32427,20634,18574
2018,"Alaska",735139,59783,71,"0.10%",23,"0.10%",31,"0.10%",11,"0.20%",8,"0.30%",6,"0.20%",34,"0.10%",29,"0.10%",22,"0.10%",20,"0.10%",1,"0.10%",0,"0.00%","I",247189,220535,17952,14396,60867,59605,30250,32461,20675,18577
2019,"Alaska",731545,61639,60,"0.10%",12,"0.10%",26,"0.10%",3,"0.00%",2,"0.10%",3,"0.10%",33,"0.10%",24,"0.10%",15,"0.10%",26,"0.10%",0,"0.00%",0,"0.00%","R",245250,218718,17836,14314,60906,59594,30578,32785,20839,18620
2020,"Alaska",733391,63391,56,"0.10%",18,"0.10%",25,"0.10%",2,"0.00%",3,"0.10%",4,"0.10%",25,"0.10%",18,"0.10%",14,"0.10%",22,"0.10%",3,"0.30%",2,"0.50%","R",243723,217454,17809,14145,61032,59700,30784,32955,20815,18612
2010,"Arizona",6407172,33876,2486,"2.50%",563,"1.60%",775,"2.70%",367,"3.20%",119,"3.10%",39,"1.40%",1069,"2.90%",862,"2.80%",627,"2.70%",701,"2.80%",28,"2.70%",10,"5.00%","R",1860391,1903092,141661,128796,131490,138533,94493,105518,873379,867246
2011,"Arizona",6472643,35321,2854,"2.90%",613,"1.70%",865,"3.00%",420,"3.50%",130,"3.10%",47,"1.70%",1254,"3.40%",975,"3.10%",675,"2.90%",888,"3.40%",39,"4.20%",13,"5.30%","R",1867587,1908900,145796,132227,133218,140166,98919,110583,887671,881113
2012,"Arizona",6554978,36545,2920,"2.90%",615,"1.80%",858,"2.80%",448,"4.10%",178,"4.70%",59,"2.20%",1181,"3.10%",900,"2.90%",722,"3.20%",884,"3.40%",33,"3.00%",9,"3.20%","R",1878330,1920173,150634,136849,134913,142137,103665,115319,904554,897485
2013,"Arizona",6632764,37139,2803,"3.00%",600,"1.80%",921,"3.30%",378,"3.60%",116,"3.10%",49,"1.60%",1254,"3.30%",947,"3.00%",718,"3.40%",857,"3.30%",37,"3.60%",12,"3.60%","R",1886033,1929344,154925,141327,136418,144089,108848,120647,921400,914675
2014,"Arizona",6730413,38756,2644,"3.00%",560,"1.80%",751,"2.90%",382,"4.00%",110,"3.10%",46,"1.70%",1206,"3.20%",868,"2.80%",620,"3.00%",908,"3.60%",36,"3.80%",6,"1.80%","R",1900119,1943413,159927,146374,138099,145825,114406,126415,941935,933685
2015,"Arizona",6829676,40334,2396,"2.70%",560,"1.80%",697,"2.70%",333,"3.50%",121,"3.40%",72,"2.60%",1083,"2.90%",785,"2.60%",543,"2.60%",829,"3.30%",34,"3.60%",6,"1.80%","R",1913146,1957693,165754,152243,139108,147016,118996,131153,964630,954255
2016,"Arizona",6941072,41473,2324,"2.50%",590,"1.80%",723,"2.70%",331,"3.40%",97,"2.50%",65,"2.10%",1115,"2.70%",769,"2.30%",573,"2.70%",849,"3.00%",26,"2.40%",4,"1.70%","R",1930273,1975096,171971,159208,140304,148691,124743,137330,985743,975825
2017,"Arizona",7044008,43301,1988,"2.40%",437,"1.50%",656,"2.60%",264,"3.20%",94,"2.70%",55,"1.70%",959,"2.10%",680,"2.10%",429,"2.30%",696,"2.60%",28,"2.80%",0,"0.00%","R",1945091,1990996,177464,165245,141444,149971,128798,141759,1006929,997331
2018,"Arizona",7158024,45299,1768,"2.30%",393,"1.60%",646,"2.60%",212,"3.00%",73,"2.60%",40,"1.30%",933,"2.40%",660,"2.20%",380,"2.20%",613,"2.50%",35,"3.30%",3,"1.40%","R",1966321,2011620,183735,172058,142622,151563,131921,145484,1029056,1019624
2019,"Arizona",7278717,47242,1729,"2.40%",448,"1.90%",561,"2.40%",193,"2.80%",64,"2.30%",53,"1.60%",957,"2.40%",682,"2.30%",394,"2.50%",640,"2.60%",32,"2.90%",0,"0.00%","R",1988931,2036010,190660,178922,143786,152982,136669,150726,1052540,1043257
2020,"Arizona",7151502,51332,1602,"2.40%",417,"1.90%",499,"2.30%",186,"2.90%",58,"2.40%",86,"2.40%",930,"2.50%",618,"2.20%",408,"2.90%",600,"2.50%",21,"2.10%",3,"0.70%","R",2013357,2062065,197402,185879,144658,154248,141290,155583,1075439,1067068
2010,"Arkansas",2921964,32372,1709,"1.70%",816,"2.30%",475,"1.60%",79,"0.70%",49,"1.30%",37,"1.30%",469,"1.30%",401,"1.30%",309,"1.30%",424,"1.70%",12,"1.10%",3,"1.50%","D",1083393,1123270,218948,241536,11094,11511,21347,23447,91267,79922
2011,"Arkansas",2940667,34279,1666,"1.70%",745,"2.10%",499,"1.70%",65,"0.50%",42,"1.00%",24,"0.80%",472,"1.30%",405,"1.30%",278,"1.20%",446,"1.70%",15,"1.60%",1,"0.40%","D",1086691,1126427,220726,243188,11296,11657,22720,24929,94112,82715
2012,"Arkansas",2952164,36582,2374,"2.40%",736,"2.20%",1212,"4.00%",76,"0.70%",53,"1.40%",21,"0.80%",520,"1.40%",426,"1.40%",303,"1.30%",407,"1.50%",93,"8.60%",5,"1.80%","D",1087195,1126632,221756,244315,11581,11899,24481,26257,96391,85313
2013,"Arkansas",2959400,36677,1524,"1.60%",742,"2.20%",487,"1.80%",57,"0.50%",45,"1.20%",30,"1.00%",498,"1.30%",424,"1.30%",297,"1.40%",350,"1.30%",13,"1.30%",3,"0.90%","D",1086327,1126032,223189,245640,11689,11961,25226,26979,98270,87768
2014,"Arkansas",2967392,38749,1339,"1.50%",566,"1.80%",437,"1.70%",75,"0.80%",36,"1.00%",32,"1.20%",445,"1.20%",376,"1.20%",266,"1.30%",381,"1.50%",18,"1.90%",0,"0.00%","D",1086077,1125576,224524,246817,11783,12200,26175,27929,100031,89872
2015,"Arkansas",2978048,39968,1372,"1.50%",577,"1.90%",422,"1.60%",78,"0.80%",44,"1.20%",33,"1.20%",468,"1.20%",393,"1.30%",267,"1.30%",407,"1.60%",15,"1.60%",0,"0.00%","R",1086496,1125036,226348,248434,11957,12339,27322,29004,102156,92345
2016,"Arkansas",2989918,40873,1473,"1.60%",651,"2.00%",437,"1.60%",78,"0.80%",44,"1.20%",27,"0.90%",470,"1.10%",381,"1.20%",259,"1.20%",439,"1.60%",0,"0.00%",2,"0.80%","R",1086304,1125313,227885,249974,12139,12570,29019,30227,104489,94685
2017,"Arkansas",3001345,42056,1371,"1.60%",596,"2.10%",439,"1.70%",68,"0.80%",51,"1.50%",34,"1.00%",454,"1.20%",369,"1.20%",261,"1.40%",414,"1.50%",12,"1.20%",1,"0.50%","R",1086700,1125359,228748,251277,12375,12757,30215,31346,107248,97558
2018,"Arkansas",3009733,43661,1151,"1.50%",463,"1.90%",363,"1.50%",45,"0.60%",36,"1.30%",22,"0.70%",409,"1.00%",335,"1.10%",249,"1.50%",339,"1.40%",11,"1.00%",1,"0.50%","R",1085966,1125338,229362,252630,12553,12965,30771,31944,109390,100138
2019,"Arkansas",3017804,45037,1200,"1.70%",474,"2.00%",352,"1.50%",54,"0.80%",41,"1.50%",30,"0.90%",463,"1.20%",380,"1.30%",256,"1.60%",366,"1.50%",12,"1.10%",2,"1.00%","R",1084970,1125387,230231,253716,12626,13129,31707,32680,111946,102787
2020,"Arkansas",3011524,47522,1093,"1.60%",464,"2.10%",333,"1.60%",57,"0.90%",25,"1.00%",33,"0.90%",411,"1.10%",335,"1.20%",204,"1.40%",363,"1.50%",8,"0.80%",3,"0.70%","R",1084007,1125557,230345,254530,12791,13314,33145,33670,114784,105727
2010,"California",37319502,43246,7161,"7.20%",2239,"6.20%",1846,"6.40%",1354,"12.00%",329,"8.70%",228,"8.20%",2939,"8.10%",2408,"7.80%",1856,"8.00%",2017,"8.00%",55,"5.30%",15,"7.50%","R",7703240,7775263,1168005,1197647,101970,106333,2472441,2733690,6485873,6349764
2011,"California",37638369,45557,7166,"7.20%",2372,"6.70%",1925,"6.70%",1355,"11.50%",394,"9.50%",249,"8.80%",3195,"8.60%",2542,"8.10%",1852,"7.90%",2110,"8.20%",50,"5.40%",25,"10.20%","R",7694664,7760471,1174187,1203377,102055,106503,2530182,2798251,6570212,6453443
2012,"California",37948800,48121,7399,"7.40%",2299,"6.90%",2036,"6.70%",1350,"12.40%",345,"9.10%",269,"10.10%",3406,"9.00%",2698,"8.60%",1833,"8.00%",2236,"8.50%",56,"5.20%",35,"12.50%","D",7696896,7750306,1180896,1207708,102453,106887,2588143,2861887,6646787,6542479
2013,"California",38260787,48502,6892,"7.40%",2285,"6.90%",1824,"6.60%",1170,"11.00%",335,"9.00%",279,"8.90%",3223,"8.40%",2509,"8.00%",1799,"8.40%",2125,"8.20%",52,"5.10%",20,"6.00%","D",7691176,7738147,1184815,1211852,102455,106979,2654854,2934083,6722235,6629005
2014,"California",38596972,51266,6363,"7.20%",2176,"7.00%",1705,"6.60%",1101,"11.50%",282,"7.90%",270,"9.80%",3088,"8.10%",2439,"7.90%",1569,"7.60%",1988,"7.80%",46,"4.90%",23,"6.90%","D",7689214,7726870,1194036,1217123,102568,107117,2726600,3011255,6801591,6713121
2015,"California",38918045,54546,6199,"7.00%",2015,"6.50%",1729,"6.60%",1058,"11.00%",293,"8.30%",239,"8.70%",2926,"7.70%",2292,"7.40%",1572,"7.60%",1975,"7.80%",66,"7.00%",22,"6.60%","D",7679720,7704455,1200754,1221495,102683,107185,2804549,3095679,6879891,6791513
2016,"California",39167117,56560,5870,"6.40%",1905,"5.90%",1560,"5.80%",930,"9.50%",274,"7.20%",192,"6.20%",2937,"7.00%",2193,"6.60%",1517,"7.30%",1912,"6.80%",99,"9.20%",24,"10.10%","D",7650034,7665916,1205384,1224372,102549,106972,2873456,3168504,6951287,6865356
2017,"California",39358497,58813,5423,"6.40%",1811,"6.30%",1500,"5.90%",786,"9.50%",270,"7.90%",190,"5.90%",2752,"6.40%",2051,"6.40%",1374,"7.50%",1915,"7.10%",80,"8.00%",17,"8.30%","D",7607356,7613171,1212071,1226862,102509,106947,2940080,3236867,7012033,6926086
2018,"California",39461588,61509,4344,"5.70%",1365,"5.50%",1330,"5.40%",619,"8.70%",170,"5.90%",191,"6.00%",2183,"5.50%",1622,"5.30%",1062,"6.30%",1499,"6.10%",85,"8.00%",13,"5.90%","D",7550850,7548418,1217143,1228304,102038,106595,2991402,3289978,7057922,6974406
2019,"California",39512223,64333,4276,"5.90%",1421,"5.90%",1321,"5.60%",697,"9.90%",175,"6.40%",185,"5.40%",2319,"5.90%",1708,"5.70%",1065,"6.80%",1487,"6.10%",71,"6.40%",18,"8.60%","D",7468663,7464466,1220031,1228142,101146,105761,3031302,3329955,7089507,7009742
2020,"California",39538223,69958,4130,"6.10%",1397,"6.30%",1260,"5.90%",634,"9.90%",197,"8.20%",248,"7.00%",2306,"6.10%",1698,"6.10%",985,"6.90%",1502,"6.20%",84,"8.60%",13,"3.00%","D",7365392,7356288,1222455,1226724,100067,104778,3062540,3360054,7118456,7041079
2010,"Colorado",5047349,40790,2133,"2.10%",617,"1.70%",749,"2.60%",455,"4.00%",164,"4.30%",232,"8.30%",945,"2.60%",784,"2.50%",641,"2.80%",563,"2.20%",33,"3.20%",5,"2.50%","D",1791043,1799086,114056,102304,18943,18747,72977,85812,481975,462217
2011,"Colorado",5121108,43658,1986,"2.00%",488,"1.40%",676,"2.40%",395,"3.30%",116,"2.80%",164,"5.80%",888,"2.40%",709,"2.30%",539,"2.30%",583,"2.30%",21,"2.30%",6,"2.40%","D",1810181,1817626,116656,104530,19190,19123,75822,89144,493167,473789
2012,"Colorado",5192647,45630,1956,"2.00%",503,"1.50%",686,"2.30%",310,"2.80%",102,"2.70%",157,"5.90%",864,"2.30%",665,"2.10%",540,"2.40%",612,"2.30%",33,"3.00%",9,"3.20%","D",1831362,1836597,119709,107225,19464,19286,78922,92651,501125,482369
2013,"Colorado",5269035,47404,2058,"2.20%",482,"1.50%",667,"2.40%",385,"3.60%",108,"2.90%",130,"4.10%",944,"2.40%",714,"2.30%",602,"2.80%",689,"2.70%",29,"2.80%",4,"1.20%","D",1854170,1856923,123235,110069,19746,19691,82149,96081,509625,491220
2014,"Colorado",5350101,50797,1803,"2.00%",488,"1.60%",581,"2.20%",274,"2.90%",93,"2.60%",125,"4.50%",913,"2.40%",673,"2.20%",533,"2.60%",639,"2.50%",24,"2.60%",5,"1.50%","D",1878259,1877280,127413,112893,20120,19945,85596,99754,519808,500818
2015,"Colorado",5450623,52339,1906,"2.10%",496,"1.60%",655,"2.50%",292,"3.00%",100,"2.80%",94,"3.40%",971,"2.60%",739,"2.40%",527,"2.60%",650,"2.60%",23,"2.50%",7,"2.10%","D",1909380,1903478,131445,116038,20553,20488,90080,104580,532075,511828
2016,"Colorado",5539215,52390,1994,"2.20%",615,"1.90%",608,"2.30%",423,"4.30%",246,"6.40%",83,"2.70%",1085,"2.60%",830,"2.50%",515,"2.50%",665,"2.40%",27,"2.50%",2,"0.80%","D",1936271,1926518,135071,118795,20878,20948,93819,108655,543146,522065
2017,"Colorado",5611885,55294,1688,"2.00%",459,"1.60%",607,"2.40%",290,"3.50%",103,"3.00%",113,"3.50%",881,"2.10%",686,"2.10%",463,"2.50%",588,"2.20%",32,"3.20%",5,"2.40%","D",1956311,1943286,137936,120891,21251,21192,97311,112067,553573,532668
2018,"Colorado",5691287,58471,1354,"1.80%",307,"1.20%",506,"2.10%",231,"3.30%",67,"2.30%",83,"2.60%",835,"2.10%",602,"2.00%",370,"2.20%",476,"1.90%",37,"3.50%",1,"0.50%","D",1975380,1962044,141345,124017,21622,21604,101184,115818,565339,544164
2019,"Colorado",5758736,61087,1322,"1.80%",343,"1.40%",498,"2.10%",203,"2.90%",68,"2.50%",64,"1.90%",805,"2.10%",551,"1.80%",363,"2.30%",504,"2.10%",30,"2.70%",1,"0.50%","D",1992305,1975819,144030,125938,21812,21863,103396,118273,574293,552732
2020,"Colorado",5773714,64034,1155,"1.70%",276,"1.30%",454,"2.10%",171,"2.70%",49,"2.00%",66,"1.90%",783,"2.10%",543,"1.90%",298,"2.10%",431,"1.80%",40,"4.10%",0,"0.00%","D",2002532,1985498,146622,127925,22018,22120,105995,120762,581934,560945
2010,"Connecticut",3579114,61743,295,"0.30%",99,"0.30%",82,"0.30%",41,"0.40%",13,"0.30%",18,"0.60%",115,"0.30%",91,"0.30%",66,"0.30%",91,"0.40%",1,"0.10%",0,"0.00%","R",1255312,1328316,171154,187842,4427,4593,70358,74770,203524,202084
2011,"Connecticut",3588283,63132,262,"0.30%",81,"0.20%",63,"0.20%",30,"0.30%",13,"0.30%",16,"0.60%",99,"0.30%",77,"0.20%",66,"0.30%",88,"0.30%",3,"0.30%",1,"0.40%","D",1249243,1320506,173067,189617,4497,4679,72734,77472,209454,208362
2012,"Connecticut",3594547,64121,279,"0.30%",81,"0.20%",76,"0.30%",44,"0.40%",17,"0.40%",17,"0.60%",101,"0.30%",73,"0.20%",87,"0.40%",87,"0.30%",2,"0.20%",2,"0.70%","D",1241600,1310813,175140,191531,4587,4788,75185,80572,215168,214625
2013,"Connecticut",3594841,62647,294,"0.30%",88,"0.30%",70,"0.30%",28,"0.30%",5,"0.10%",11,"0.30%",108,"0.30%",82,"0.30%",91,"0.40%",100,"0.40%",1,"0.10%",0,"0.00%","D",1232735,1300482,177451,193495,4672,4853,76304,82010,220443,219937
2014,"Connecticut",3594524,65498,270,"0.30%",98,"0.30%",62,"0.20%",23,"0.20%",14,"0.40%",18,"0.70%",114,"0.30%",97,"0.30%",78,"0.40%",90,"0.40%",1,"0.10%",1,"0.30%","D",1222946,1288709,178843,195184,4749,4898,79270,85097,225514,224949
2015,"Connecticut",3587122,67321,238,"0.30%",63,"0.20%",71,"0.30%",27,"0.30%",6,"0.20%",15,"0.50%",85,"0.20%",64,"0.20%",75,"0.40%",87,"0.30%",4,"0.40%",0,"0.00%","D",1210440,1274986,180384,196943,4829,4889,81839,87320,229640,229462
2016,"Connecticut",3578141,68680,253,"0.30%",62,"0.20%",66,"0.20%",30,"0.30%",14,"0.40%",11,"0.40%",104,"0.20%",80,"0.20%",88,"0.40%",90,"0.30%",2,"0.20%",1,"0.40%","D",1197654,1261068,181759,198530,4834,4856,83382,89060,234058,234523
